Student ID,Problem1,Problem2,Problem3,Problem4,Total Points
a10922123,0,0,0,0,-1
b04501019,0,0,0,0,-1
b07202053,20,20,30,30,100
b07502027,20,20,30,30,100
b07502028,20,20,30,30,100
b07502166,20,20,30,30,100
b07601004,20,20,30,30,100
b07611046,0,0,0,0,-1
b07705015,20,20,30,30,100
b07902033,20,20,30,30,100
b07902059,0,0,0,0,-1
b07902070,20,20,30,30,100
b07902089,0,0,0,0,-1
b08508002,20,20,30,30,100
b08602006,0,0,0,0,-1
b08611014,0,0,0,0,-1
b08611019,20,20,30,30,100
b08901059,20,20,30,30,100
b08902001,20,20,30,30,100
b08902004,20,20,30,30,100
b08902016,20,20,30,30,100
b08902052,0,0,0,0,-1
b08902081,20,20,30,30,100
b08902083,20,20,30,30,100
b08902090,20,20,30,30,100
b08902092,20,20,30,30,100
b08902093,20,20,30,30,100
b08902110,20,20,30,30,100
b08902116,20,20,30,30,100
b08902118,20,20,30,30,100
b08902134,20,20,30,30,100
d07922009,20,20,30,30,100
d09922025,20,20,30,30,100
d09945012,0,0,0,0,-1
d10922001,20,20,30,30,100
d10922002,20,20,30,30,100
d10922004,20,20,30,30,100
d10922007,20,20,30,30,100
d10922019,20,20,30,30,100
d10922021,20,20,30,30,100
d10922024,20,20,30,30,100
d10922026,20,20,30,30,100
d10922027,0,0,0,0,-1
d10922034,20,20,30,30,100
d10922035,20,20,30,30,100
jimmychiu0626,0,0,0,0,-1
r08945049,0,0,0,0,-1
r09921006,0,0,0,0,-1
r09922a02,20,20,30,30,100
r09944066,0,0,0,0,-1
r09946002,0,0,0,0,-1
r10521601,0,0,0,0,-1
r10521602,0,0,0,0,-1
r10521604,0,0,0,0,-1
r10521605,0,0,0,0,-1
r10521606,20,20,30,30,100
r10521608,20,20,30,30,100
r10521609,20,20,30,30,100
r10521612,0,0,0,0,-1
r10921131,0,0,0,0,-1
r10921a26,0,0,0,0,-1
r10922007,20,20,30,30,100
r10922058,20,20,30,30,100
r10922075,20,20,30,30,100
r10922108,0,0,0,0,-1
r10922123,0,0,0,0,-1
r10922130,20,20,30,30,100
r10922140,0,0,0,0,-1
r10922147,0,0,0,0,-1
r10922154,20,20,30,30,100
r10922158,20,20,30,30,100
r10922167,20,20,30,30,100
r10922175,0,0,0,0,-1
r10922180,0,0,0,0,-1
r10922193,20,20,30,30,100
r10922a04,20,20,30,30,100
r10922a06,20,20,30,30,100
r10922a07,20,20,30,30,100
r10922a10,20,20,30,30,100
r10922a12,0,0,0,0,-1
r10922a14,20,20,30,30,100
r10922a15,20,20,30,30,100
r10922a16,20,20,30,30,100
r10922a17,0,0,0,0,-1
r10922a23,20,20,30,30,100
r10942144,0,0,0,0,-1
r10942160,0,0,0,0,-1
r10942164,20,20,30,30,100
r10944001,20,20,30,30,100
r10944004,20,20,30,30,100
r10944011,20,20,30,30,100
r10944020,20,20,30,30,100
r10944040,20,20,30,30,100
r10944046,20,20,30,30,100
r10944058,20,20,30,30,100
r10944062,20,20,30,30,100
r10946001,20,20,30,30,100
r10946021,20,20,30,30,100
r10946031,20,20,30,30,100
r12345678_hw1,0,0,0,0,-1
r12345678,0,20,30,30,80
r12345678_,0,0,0,0,-1
